method,k,inertia_mean,inertia_std,silhouette_mean,silhouette_std,iterations_mean,iterations_std,runtime_mean,runtime_std
gonzalez,3,374.53328428010445,0.09260783020784862,0.40507098132026825,0.0025701547416306226,12.033333333333333,2.941772083031884,0.0023180565001287806,0.00059183419264369
gonzalez,5,247.77534813642666,3.2712210443869285,0.3421003848372276,0.014807377884711734,13.166666666666666,4.488170914851566,0.003203562298343362,0.0010603931581352581
gonzalez,8,157.45598938904726,3.3635431579132766,0.3330533085180676,0.0052769136032578025,13.866666666666667,4.216006717698415,0.004933175034724021,0.0016853964557025385
kmeans++,3,374.51204216104617,0.10444538033046345,0.40424448000989344,0.002789013505959712,12.133333333333333,3.339763912091055,0.0023168411668545255,0.0006677442282122224
kmeans++,5,249.56597755605836,5.019807265534199,0.32934723049917713,0.011966954468485204,14.566666666666666,6.317372507799335,0.003642540100069406,0.0016371603919575347
kmeans++,8,154.70978815635638,3.733013754673525,0.33011737483743514,0.009095921403377906,15.9,6.640263808635607,0.005069633833772969,0.0019680718778147485
random,3,374.469585472506,0.10120851157699413,0.40322759347065024,0.0028429677996204853,14.133333333333333,6.229702673667409,0.0024861984988092446,0.00120589082529291
random,5,249.32911516386875,4.536166044300006,0.32996437873957046,0.01255777233891434,15.6,7.034888426436755,0.0034492677009742086,0.0015354480553189183
random,8,154.04197925611254,4.112612782117463,0.33306675286251947,0.008360987422529335,18.733333333333334,5.613612355530164,0.005466690534376539,0.0017389970283564183
